task_name,due_datetime,est_effort_hours
Revisi Cepat Tugas Sebelumnya,2025-10-28 20:00:00,0.5
Kuis Online Mata Kuliah X,2025-10-29 09:00:00,1
Mengerjakan Soal Latihan Kalkulus,2025-10-29 23:59:00,2
Balas Email Dosen Pembimbing,2025-10-29 17:30:00,0.5
Tugas Bacaan Logika Fuzzy,2025-10-31 12:00:00,4
Persiapan Presentasi Sniter,2025-11-03 10:00:00,8
Meresume Chapter 5 Kewirausahaan,2025-11-05 15:00:00,3
Proposal Proyek Akhir,2025-11-10 23:59:00,10
UAS Mobile Programming (Studi Kasus),2025-11-20 23:59:00,35
Membeli Buku Teks Baru,2025-11-25 12:00:00,1
Revisi Skripsi Bab 1,2025-12-05 17:00:00,25
Ujian Akhir Semester (Simulasi),2025-12-15 10:00:00,15
Perencanaan Karir Jangka Panjang,2026-01-01 00:00:00,50
Proyek Besar KP (Bab 3),2026-02-15 10:00:00,60
Tugas Jurnal Mingguan,2025-10-31 12:00:00,6